timestamp,open,high,low,close,volume,turnover
2026-01-20T13:28:00,91312.8,91312.8,91292.2,91302.7,119216.0,1.30568767
2026-01-20T13:29:00,91302.7,91302.7,91254.9,91288.1,28145.0,0.30831185
2026-01-20T13:30:00,91288.1,91288.1,91256.0,91256.0,147.0,0.00161077
2026-01-20T13:31:00,91256.0,91256.0,91232.1,91254.0,3826.0,0.04192932
2026-01-20T13:32:00,91254.0,91261.0,91254.0,91261.0,62.0,0.00067935
2026-01-20T13:33:00,91261.0,91261.0,91226.3,91226.3,13557.0,0.14858938
2026-01-20T13:34:00,91226.3,91228.2,91219.4,91228.2,1302.0,0.01427313
2026-01-20T13:35:00,91228.2,91234.3,91223.0,91229.9,7723.0,0.08465245
2026-01-20T13:36:00,91229.9,91229.9,91212.1,91219.1,43676.0,0.47881748
2026-01-20T13:37:00,91219.1,91220.8,91205.0,91220.8,1639.0,0.01796784
2026-01-20T13:38:00,91220.8,91220.8,91205.0,91205.0,349.0,0.00382607
2026-01-20T13:39:00,91205.0,91213.1,91198.6,91198.6,24.0,0.00026313
2026-01-20T13:40:00,91198.6,91198.6,91150.0,91160.1,40382.0,0.44295878
2026-01-20T13:41:00,91160.1,91160.1,91138.3,91148.0,3501.0,0.03840836
2026-01-20T13:42:00,91148.0,91175.5,91147.9,91175.5,47149.0,0.51722858
2026-01-20T13:43:00,91175.5,91199.9,91175.5,91188.0,8177.0,0.08967145
2026-01-20T13:44:00,91188.0,91211.7,91188.0,91211.7,4403.0,0.04828049
2026-01-20T13:45:00,91211.7,91215.7,91195.2,91210.9,2771.0,0.03038011
2026-01-20T13:46:00,91210.9,91219.3,91189.6,91216.3,5056.0,0.0554349
2026-01-20T13:47:00,91216.3,91216.3,91208.8,91208.9,447.0,0.00490047
2026-01-20T13:48:00,91208.9,91208.9,91200.1,91208.7,306.0,0.00335524
2026-01-20T13:49:00,91208.7,91209.1,91200.1,91200.1,1517.0,0.0166337
2026-01-20T13:50:00,91200.1,91215.9,91189.7,91189.7,8501.0,0.0932217
2026-01-20T13:51:00,91189.7,91189.7,91139.2,91142.2,108695.0,1.19231668
2026-01-20T13:52:00,91142.2,91177.0,91138.3,91148.0,2828.0,0.03102012
2026-01-20T13:53:00,91148.0,91148.0,91138.3,91138.3,474.0,0.00520073
2026-01-20T13:54:00,91138.3,91138.3,91125.1,91125.1,2705.0,0.02968112
2026-01-20T13:55:00,91125.1,91155.0,91125.1,91155.0,21724.0,0.23834018
2026-01-20T13:56:00,91155.0,91171.0,91154.9,91170.9,1428.0,0.01566443
2026-01-20T13:57:00,91170.9,91170.9,91151.9,91160.6,58562.0,0.64238951
2026-01-20T13:58:00,91160.6,91160.6,91108.6,91108.6,24703.0,0.2710735
